Row Labels,Sum of Total Exports Value ($US),,,
2010,64261889062,,,
2011,76344633516,,,
2012,74571208216,,,
2013,73223747418,,,
2014,73173949194,,,
2015,64126001488,,,
2016,62328950980,,,
2017,68515352258,,,
2018,70610715802,,,
2019,71397846474,,,
2020,76036001222,,,
2021 through July,57236344776,,,
New Mexico,1.15E+11,,,
2002,2374237176,,,
2003,4655138982,,,
2004,4094115568,,,
2005,5085885826,,,
2006,5790480578,,,
2007,5170242746,,,
2008,5565813326,,,
2009,2539070468,,,
2010,3085299738,,,
2011,4191719834,,,
2012,5915616694,,,
2013,5452277508,,,
2014,7603213918,,,
2015,7563405280,,,
2016,7232325294,,,
2017,7391372848,,,
2018,7798412668,,,
2019,9357965602,,,
2020,7376078236,,,
2021 through July,6917967760,,,
New York,2.74E+12,,,
2002,75514145002,,,
2003,80288680324,,,
2004,91277431666,,,
2005,1.04E+11,,,
2006,1.18E+11,,,
2007,1.42E+11,,,
2008,1.63E+11,,,
2009,1.17E+11,,,
2010,1.39E+11,,,
2011,1.70E+11,,,
2012,1.63E+11,,,
2013,1.73E+11,,,
2014,1.78E+11,,,
2015,1.66E+11,,,
2016,1.53E+11,,,
2017,1.56E+11,,,
2018,1.69E+11,,,
2019,1.51E+11,,,
2020,1.31E+11,,,
2021 through July,97621670766,,,
North Carolina,1.02E+12,,,
2002,29455330302,,,
2003,32403330620,,,
2004,36311338030,,,
2005,39014236252,,,
2006,42572580174,,,
2007,46711636862,,,
2008,50181086884,,,
2009,43585906312,,,
2010,49835824610,,,
2011,54134093740,,,
2012,57677463666,,,
2013,58694245090,,,
2014,62840002106,,,
2015,60403573038,,,
2016,60366553280,,,
2017,65240208992,,,
2018,65529956278,,,
2019,68673397364,,,
2020,56927082376,,,
2021 through July,37859351860,,,
North Dakota,1.43E+11,,,
2002,1720563776,,,
2003,1704939368,,,
2004,2026774020,,,
2005,2383470256,,,
2006,3039298588,,,
2007,4093319686,,,
2008,5544407888,,,
2009,4386022746,,,
2010,5064412470,,,
2011,6785530830,,,
2012,8620596024,,,
2013,8803398814,,,
2014,11026156752,,,
2015,8054441128,,,
2016,10588405882,,,
2017,12296077436,,,
2018,15600353988,,,
2019,13943313306,,,
2020,10341343600,,,
2021 through July,6815327306,,,
Ohio,1.71E+12,,,
2002,55547751454,,,
2003,59595110722,,,
2004,63424947374,,,
2005,70220987580,,,
2006,76322827168,,,
2007,85124466032,,,
2008,91255965690,,,
2009,68208968476,,,
2010,83009303352,,,
2011,92915277978,,,
2012,97637806280,,,
2013,1.02E+11,,,
2014,1.05E+11,,,
2015,1.03E+11,,,
2016,98660467358,,,
2017,1.00E+11,,,
2018,1.09E+11,,,
2019,1.06E+11,,,
2020,90131284406,,,
2021 through July,55740054448,,,
Oklahoma,1.99E+11,,,
2002,4890876562,,,
2003,5319915436,,,
2004,6372105698,,,
2005,8644841236,,,
2006,8789332454,,,
2007,9158135774,,,
2008,10153062374,,,
2009,8829831434,,,
2010,10708230798,,,
2011,12455351310,,,
2012,13157086948,,,
2013,13839492876,,,
2014,12616529458,,,
2015,10501360664,,,
2016,10092614182,,,
2017,10726949150,,,
2018,12224649752,,,
2019,12284235426,,,
2020,10768909414,,,
2021 through July,7269494482,,,
Oregon,7.11E+11,,,
2002,20160816982,,,
2003,20693458444,,,
2004,22428051412,,,
2005,24814428266,,,
2006,30605167346,,,
2007,33061750078,,,
2008,38704261426,,,
